category_id,name_ru,description_ru
1,"Молочные продукты и яйца","Молоко, сыр, йогурт, яйца"
2,"Специи и травы","Перец, соль, травы, специи"
3,"Детское питание","Пюре, смеси для детей"
4,"Жиры и масла","Масло сливочное, растительное масло"
5,"Птица","Курица, индейка, утка"
6,"Супы, соусы, подливки","Бульоны, соусы, супы"
7,"Колбасы и мясные изделия","Сосиски, ветчина, салями"
8,"Завтракные хлопья","Овсянка, кукурузные хлопья"
9,"Фрукты и фруктовые соки","Яблоки, бананы, апельсины, соки"
10,"Свинина","Свиная вырезка, ребрышки"
11,"Овощи и овощные продукты","Морковь, картофель, капуста"
12,"Орехи и семена","Миндаль, грецкие орехи, семена"
13,"Говядина","Стейк, фарш говяжий"
14,"Напитки","Чай, кофе, газировка"
15,"Рыба и морепродукты","Лосось, тунец, креветки"
16,"Бобовые","Фасоль, чечевица, горох"
17,"Баранина, телятина, дичь","Баранина, кролик"
18,"Выпечка","Хлеб, булочки, печенье"
19,"Сладости","Шоколад, конфеты, мороженое"
20,"Злаки и паста","Рис, макароны, гречка"
21,"Фастфуд","Бургеры, пицца, картошка фри"
22,"Блюда, основные и гарниры","Замороженные ужины, салаты"
23,"Снеки","Чипсы, сухарики, попкорн"
24,"Индейские/Аляскинские продукты","Традиционные блюда коренных народов"
25,"Ресторанная еда","Блюда из ресторанов"
26,"Брендовые продукты","Упакованные продукты брендов"
27,"Контроль качества","Лабораторные образцы"
28,"Алкогольные напитки","Вино, пиво, крепкий алкоголь"
